Date,BTC,USD,EUR,JPY,GBP,CNY,AUD,CAD,CHF,Other
1999-03-31,,75.0307939895284,16.5083893889037,4.23424487326962,2.30532243261299,,,,0.546432301466155,1.37481701421918
1999-06-30,,76.6229369068848,15.6311982835649,3.71479038962879,2.25659319084052,,,,0.512668932582769,1.26181229649825
1999-09-30,,75.3459988780598,16.7692176560494,3.91837051732447,2.21101858522968,,,,0.514820751848202,1.24057361148841
1999-12-31,,74.3117118853586,17.3276390935329,3.9480426738273,2.53727436321642,,,,0.499772036097573,1.37555994796727
2000-03-31,,70.7965528604486,16.534852958916,6.0029110889405,3.80565808850985,,,,0.305566067237065,2.55445893594803
2000-06-30,,70.6756743292132,16.7730469443933,6.82175009453778,3.27907174864619,,,,0.208569363826617,2.24188751938297
2000-09-30,,70.643182802407,16.4219625327352,7.05327295071261,3.30999938865111,,,,0.228059718582468,2.3435226069116
2000-12-31,,69.7403271390709,17.5370606971042,6.56175315722423,3.41293387565885,,,,0.300435722773635,2.44748940816813
2001-03-31,,70.6500810298208,17.225731705536,5.94147496357515,3.38776502267296,,,,0.277286854191542,2.51766042420354
2001-06-30,,71.4003108062864,17.1533756874137,5.79673624889796,3.12644789829308,,,,0.272253200877856,2.25087615823107
2001-09-30,,70.7633611218991,17.9664971397453,5.72330188514773,3.06928099864589,,,,0.25357370651392,2.22398514804804
2001-12-31,,70.7836648539658,18.405093873867,5.39521468267518,3.10724716877079,,,,0.243598164527768,2.06518125619349
2002-03-31,,70.5138003119722,19.0441646615479,4.69090120558893,3.29174476524937,,,,0.296080925755089,2.16330812988654
2002-06-30,,67.8056192218856,20.086257041822,6.21221818704142,3.25522443181557,,,,0.286419187296188,2.35426193013926
2002-09-30,,66.6936532882457,21.152324713009,5.779089914227,3.58740482269655,,,,0.303467291983549,2.48405996983817
2002-12-31,,64.9391869591015,22.923391556076,5.60352576564664,3.67276693852855,,,,0.391308283066066,2.46982049758122
2003-03-31,,64.6161570687263,22.6563577577068,6.08921334824294,3.49080344798615,,,,0.244837072749828,2.90263130458794
2003-06-30,,64.6518884544982,23.1257328345919,5.51034698106732,3.50409443990468,,,,0.221573258514436,2.98636403142339
2003-09-30,,64.9081937339743,22.6868451713132,5.65159497024458,3.4881645545855,,,,0.236427540020288,3.02877402986216
2003-12-31,,63.534917057239,23.1322623759487,6.13064355843143,3.87014410029142,,,,0.232921630795454,3.09911127729395
2004-03-31,,64.6672276348416,21.7868685999698,6.36656899968995,4.00587867011783,,,,0.238947430591396,2.93450866478938
2004-06-30,,64.8549468240236,21.7693514192742,6.08232728818627,4.07030986164614,,,,0.246531866286037,2.97653274058376
2004-09-30,,64.4403466010848,22.1939086191011,5.80018541199292,4.33168723083639,,,,0.199459623001186,3.03441251398362
2004-12-31,,63.3229146034879,23.1446722069437,5.65184909403001,4.58606763238653,,,,0.208960983814368,3.08553547933754
2005-03-31,,64.2052408299401,23.0980113753154,4.83569328547569,4.68114567027959,,,,0.202516690650509,2.97739214833872
2005-06-30,,64.682879009746,22.6995876338169,4.7247221948449,4.65260265580003,,,,0.177872000382408,3.06233650540975
2005-09-30,,65.0115199088046,22.3372917750411,4.59516497809283,4.65064623472533,,,,0.191638504945211,3.21373859839095
2005-12-31,,64.888024245941,21.8892330637684,4.79884677395107,4.74683443670868,,,,0.205158020437379,3.47190345919347
2006-03-31,,64.8836357935906,22.1315791481771,4.35886195026249,5.03762439776006,,,,0.21106655629837,3.37723215391135
2006-06-30,,64.1111257285317,22.4579581568719,4.43483140769063,5.20648254703661,,,,0.200388394432645,3.58921376543659
2006-09-30,,64.5901865327659,22.0875462774912,4.34554362550244,5.22796628617241,,,,0.20390240977639,3.54485486829174
2006-12-31,,63.6672618202723,22.6226235338528,4.50033257124684,5.30450235240327,,,,0.213938298852018,3.69134142337283
2007-03-31,,63.6562290349214,23.2886674545895,3.86853698275938,5.10799281326877,,,,0.241546638622463,3.83702707583852
2007-06-30,,63.3986338150179,22.9164056076231,3.99956592387661,5.4755494320204,,,,0.207525482289555,4.00231973917239
2007-09-30,,62.7131094022578,23.7708386675709,3.83686104634003,5.33890734568154,,,,0.23457377501697,4.10570976313274
2007-12-31,,62.6016321357911,23.3228428580763,4.17151675232578,5.66413439912333,,,,0.214808160996282,4.02506569368718
2008-03-31,,63.0560597839148,23.2662209563831,4.28427882529844,5.22946327699782,,,,0.229035772252225,3.93494138515361
2008-06-30,,62.6959727212127,23.3095974440975,4.40652386868937,5.33113480977463,,,,0.245143513084014,4.01162764314179
2008-09-30,,63.9349439057916,22.2211500814526,4.37111734580125,5.2317249370122,,,,0.246914547932734,3.99414918200952
2008-12-31,,62.8681207370047,23.4170576773844,4.2603436497638,4.90925836295223,,,,0.22809669263497,4.31712288025992
2009-03-31,,63.8024997331739,23.2522906293496,3.63186909830574,4.74984028659825,,,,0.234961904516255,4.32853834805625
2009-06-30,,62.3523481014793,24.0779346111192,3.47780400655747,5.10846384353806,,,,0.215394737627666,4.76805469967838
2009-09-30,,61.3197557142948,24.1837460112942,3.50549753537876,5.15252934219309,,,,0.209416894152011,5.62905450268714
2009-12-31,,62.1878198896172,24.0467322850019,3.3482540381186,4.99987590374293,,,,0.209285240041787,5.2080326434776
2010-03-31,,61.7866178456704,23.8081398220863,3.6123632233472,5.07019816095642,,,,0.210800107010814,5.51188084092889
2010-06-30,,62.5629426546716,22.9718835513829,3.80844847550858,4.89762958298445,,,,0.220102547137286,5.5389931883152
2010-09-30,2.7608676339105544e-06,61.8216648528552,23.3324560606541,3.99415971745891,4.81722319148194,,,,0.215641695679924,5.81885448187001
2010-12-31,1.6210435282510945e-05,61.9359313840198,22.9132199065987,4.08750178984974,4.78018949206419,,,,0.239674287124409,6.0434831403432
2011-03-31,4.656122182790551e-05,61.8158329080448,22.7520484927065,4.08283232191651,4.77990911234316,,,,0.228074575651324,6.34130258933767
2011-06-30,0.0010684067772743406,61.5510637552286,22.8893945938661,4.10965660053902,4.76235045673983,,,,0.2292027009071,6.45833189271944
2011-09-30,0.0003718965167544288,62.2451136915126,22.2135432766033,4.11907914214665,4.66041240403438,,,,0.366071605932356,6.39577987977074
2011-12-31,0.0003690734335590724,62.5146439280514,21.7251103652476,4.09394807887633,4.62188079694987,,,,0.196253491055965,6.84816333981889
2012-03-31,0.0004079026816696205,61.8726400110631,21.7478295866898,4.25545715942588,4.73163114317936,,,,0.338050692637345,7.05439140700454
2012-06-30,0.0005925885463034885,62.1502827709439,21.8502522846078,4.19358968527898,4.62632884372613,,,,0.307287081449729,6.87225933399346
2012-09-30,0.001154347138308628,61.8049764580097,21.3475146862172,4.48085868669063,4.80236604142083,,,,0.343405695064437,7.22087843259721
2012-12-31,0.0013075261155050782,61.8442420601233,21.449406087907,4.31272471686822,4.72561568692161,,1.67321946434594,2.09445461391979,0.300814831321879,3.59952253859224
2013-03-31,0.009193293129363107,62.0793927374482,21.0205598346248,4.22714974765712,4.63859420666213,,1.79937310974119,2.19724462119645,0.345350530823456,3.69233521184666
2013-06-30,0.009926659857714806,62.037540522709,21.1393598580545,4.28875455617321,4.61064352718478,,1.80530204099438,2.31476412016977,0.342946525590416,3.460688849124
2013-09-30,0.012645610613391155,61.7421368672357,21.3126286694233,4.27258654391009,4.6997069587593,,1.80283604241885,2.31844056127716,0.348469499906138,3.5031948570694
2013-12-31,0.07895296638762331,61.7163815633297,21.4739711166451,4.08914763008468,4.78086828411831,,1.90163878804648,2.33856350206966,0.336588749631927,3.36284036607408
2014-03-31,0.048678111084613666,61.3171286741676,21.7754783250581,4.17773685368105,4.72027684034123,,1.88516901194059,2.29745698822554,0.339514631951662,3.48723867463426
2014-06-30,0.06904751700716953,61.3452564149478,21.591284412809,4.20931865095553,4.71929170677062,,1.90496036246258,2.3643605487586,0.342963361322714,3.52256454197321
2014-09-30,0.043745377827617046,62.3857244032257,20.6983968360408,4.11545490205611,4.68728615042315,,1.86118618725394,2.31661975693542,0.332487165545678,3.60284459851928
2014-12-31,0.03766853861097169,62.681866750902,20.4570063397365,4.08148179947288,4.71489443283316,,1.80218154275658,2.29744433947009,0.307137780917934,3.65798701391084
2015-03-31,0.029792089251862396,63.5494095855134,19.707371209207,4.14733279763199,4.76068834385825,,1.73051500648751,2.27140325104553,0.315243567993841,3.51803623826253
2015-06-30,0.032820342202182655,63.4720294,19.7346303,3.8500854,5.1236672,,1.8015736,2.2414706,0.3288569,3.4476866
2015-09-30,0.030992181515206836,64.2370836,19.5726043,3.7814728,5.0512023,,1.6287052,2.0853209,0.2826855,3.3609254
