Date,Close,AbsDays,LogClose
2010-07-18,0.09,561,-1.0457574905606752
2010-07-19,0.08,562,-1.0969100130080565
2010-07-20,0.07,563,-1.154901959985743
2010-07-21,0.08,564,-1.0969100130080565
2010-07-22,0.05,565,-1.3010299956639813
2010-07-23,0.06,566,-1.2218487496163564
2010-07-24,0.05,567,-1.3010299956639813
2010-07-25,0.05,568,-1.3010299956639813
2010-07-26,0.06,569,-1.2218487496163564
2010-07-27,0.06,570,-1.2218487496163564
2010-07-28,0.06,571,-1.2218487496163564
2010-07-29,0.07,572,-1.154901959985743
2010-07-30,0.06,573,-1.2218487496163564
2010-07-31,0.07,574,-1.154901959985743
2010-08-01,0.06,575,-1.2218487496163564
2010-08-02,0.06,576,-1.2218487496163564
2010-08-03,0.06,577,-1.2218487496163564
2010-08-04,0.06,578,-1.2218487496163564
2010-08-05,0.06,579,-1.2218487496163564
2010-08-06,0.06,580,-1.2218487496163564
2010-08-07,0.06,581,-1.2218487496163564
2010-08-08,0.06,582,-1.2218487496163564
2010-08-09,0.07,583,-1.154901959985743
2010-08-10,0.07,584,-1.154901959985743
2010-08-11,0.07,585,-1.154901959985743
2010-08-12,0.07,586,-1.154901959985743
2010-08-13,0.06,587,-1.2218487496163564
2010-08-14,0.07,588,-1.154901959985743
2010-08-15,0.07,589,-1.154901959985743
2010-08-16,0.07,590,-1.154901959985743
2010-08-17,0.07,591,-1.154901959985743
2010-08-18,0.07,592,-1.154901959985743
2010-08-19,0.07,593,-1.154901959985743
2010-08-20,0.07,594,-1.154901959985743
2010-08-21,0.07,595,-1.154901959985743
2010-08-22,0.07,596,-1.154901959985743
2010-08-23,0.06,597,-1.2218487496163564
2010-08-24,0.06,598,-1.2218487496163564
2010-08-25,0.06,599,-1.2218487496163564
2010-08-26,0.06,600,-1.2218487496163564
2010-08-27,0.06,601,-1.2218487496163564
2010-08-28,0.06,602,-1.2218487496163564
2010-08-29,0.06,603,-1.2218487496163564
2010-08-30,0.06,604,-1.2218487496163564
2010-08-31,0.06,605,-1.2218487496163564
2010-09-01,0.06,606,-1.2218487496163564
2010-09-02,0.06,607,-1.2218487496163564
2010-09-03,0.06,608,-1.2218487496163564
2010-09-04,0.06,609,-1.2218487496163564
2010-09-05,0.06,610,-1.2218487496163564
2010-09-06,0.06,611,-1.2218487496163564
2010-09-07,0.06,612,-1.2218487496163564
2010-09-08,0.06,613,-1.2218487496163564
2010-09-09,0.06,614,-1.2218487496163564
2010-09-10,0.06,615,-1.2218487496163564
2010-09-11,0.06,616,-1.2218487496163564
2010-09-12,0.06,617,-1.2218487496163564
2010-09-13,0.06,618,-1.2218487496163564
2010-09-14,0.06,619,-1.2218487496163564
2010-09-15,0.06,620,-1.2218487496163564
2010-09-16,0.06,621,-1.2218487496163564
2010-09-17,0.06,622,-1.2218487496163564
2010-09-18,0.06,623,-1.2218487496163564
2010-09-19,0.06,624,-1.2218487496163564
2010-09-20,0.06,625,-1.2218487496163564
2010-09-21,0.06,626,-1.2218487496163564
2010-09-22,0.06,627,-1.2218487496163564
2010-09-23,0.06,628,-1.2218487496163564
2010-09-24,0.06,629,-1.2218487496163564
2010-09-25,0.06,630,-1.2218487496163564
2010-09-26,0.06,631,-1.2218487496163564
2010-09-27,0.06,632,-1.2218487496163564
2010-09-28,0.06,633,-1.2218487496163564
2010-09-29,0.06,634,-1.2218487496163564
2010-09-30,0.06,635,-1.2218487496163564
2010-10-01,0.06,636,-1.2218487496163564
2010-10-02,0.06,637,-1.2218487496163564
2010-10-03,0.06,638,-1.2218487496163564
2010-10-04,0.06,639,-1.2218487496163564
2010-10-05,0.06,640,-1.2218487496163564
2010-10-06,0.06,641,-1.2218487496163564
2010-10-07,0.07,642,-1.154901959985743
2010-10-08,0.09,643,-1.0457574905606752
2010-10-09,0.09,644,-1.0457574905606752
2010-10-10,0.1,645,-1.0
2010-10-11,0.09,646,-1.0457574905606752
2010-10-12,0.09,647,-1.0457574905606752
2010-10-13,0.1,648,-1.0
2010-10-14,0.1,649,-1.0
2010-10-15,0.1,650,-1.0
2010-10-16,0.1,651,-1.0
2010-10-17,0.1,652,-1.0
2010-10-18,0.1,653,-1.0
2010-10-19,0.1,654,-1.0
2010-10-20,0.1,655,-1.0
2010-10-21,0.11,656,-0.958607314841775
2010-10-22,0.1,657,-1.0
2010-10-23,0.11,658,-0.958607314841775
2010-10-24,0.11,659,-0.958607314841775
2010-10-25,0.13,660,-0.8860566476931632
2010-10-26,0.15,661,-0.8239087409443188
2010-10-27,0.19,662,-0.721246399047171
2010-10-28,0.17,663,-0.769551078621726
2010-10-29,0.19,664,-0.721246399047171
2010-10-30,0.2,665,-0.6989700043360187
2010-10-31,0.19,666,-0.721246399047171
2010-11-01,0.2,667,-0.6989700043360187
2010-11-02,0.19,668,-0.721246399047171
2010-11-03,0.19,669,-0.721246399047171
2010-11-04,0.23,670,-0.638272163982407
2010-11-05,0.26,671,-0.585026652029182
2010-11-06,0.39,672,-0.4089353929735008
2010-11-07,0.34,673,-0.4685210829577448
2010-11-08,0.24,674,-0.619788758288394
2010-11-09,0.21,675,-0.6777807052660807
2010-11-10,0.24,676,-0.619788758288394
2010-11-11,0.22,677,-0.6575773191777937
2010-11-12,0.27,678,-0.5686362358410126
2010-11-13,0.28,679,-0.5528419686577808
2010-11-14,0.28,680,-0.5528419686577808
2010-11-15,0.27,681,-0.5686362358410126
2010-11-16,0.22,682,-0.6575773191777937
2010-11-17,0.23,683,-0.638272163982407
2010-11-18,0.27,684,-0.5686362358410126
2010-11-19,0.28,685,-0.5528419686577808
2010-11-20,0.28,686,-0.5528419686577808
2010-11-21,0.28,687,-0.5528419686577808
2010-11-22,0.29,688,-0.5376020021010439
2010-11-23,0.28,689,-0.5528419686577808
2010-11-24,0.28,690,-0.5528419686577808
2010-11-25,0.28,691,-0.5528419686577808
2010-11-26,0.28,692,-0.5528419686577808
2010-11-27,0.28,693,-0.5528419686577808
2010-11-28,0.27,694,-0.5686362358410126
2010-11-29,0.23,695,-0.638272163982407
2010-11-30,0.21,696,-0.6777807052660807
2010-12-01,0.23,697,-0.638272163982407
2010-12-02,0.25,698,-0.6020599913279624
2010-12-03,0.25,699,-0.6020599913279624
2010-12-04,0.2,700,-0.6989700043360187
2010-12-05,0.19,701,-0.721246399047171
2010-12-06,0.2,702,-0.6989700043360187
2010-12-07,0.23,703,-0.638272163982407
2010-12-08,0.24,704,-0.619788758288394
2010-12-09,0.2,705,-0.6989700043360187
2010-12-10,0.2,706,-0.6989700043360187
2010-12-11,0.23,707,-0.638272163982407
2010-12-12,0.22,708,-0.6575773191777937
2010-12-13,0.23,709,-0.638272163982407
2010-12-14,0.25,710,-0.6020599913279624
2010-12-15,0.24,711,-0.619788758288394
2010-12-16,0.25,712,-0.6020599913279624
2010-12-17,0.24,713,-0.619788758288394
2010-12-18,0.24,714,-0.619788758288394
2010-12-19,0.24,715,-0.619788758288394
2010-12-20,0.27,716,-0.5686362358410126
2010-12-21,0.24,717,-0.619788758288394
2010-12-22,0.25,718,-0.6020599913279624
2010-12-23,0.25,719,-0.6020599913279624
2010-12-24,0.25,720,-0.6020599913279624
2010-12-25,0.25,721,-0.6020599913279624
2010-12-26,0.26,722,-0.585026652029182
2010-12-27,0.26,723,-0.585026652029182
2010-12-28,0.28,724,-0.5528419686577808
2010-12-29,0.3,725,-0.5228787452803376
2010-12-30,0.3,726,-0.5228787452803376
2010-12-31,0.3,727,-0.5228787452803376
2011-01-01,0.3,728,-0.5228787452803376
2011-01-02,0.3,729,-0.5228787452803376
2011-01-03,0.29,730,-0.5376020021010439
2011-01-04,0.3,731,-0.5228787452803376
2011-01-05,0.3,732,-0.5228787452803376
2011-01-06,0.3,733,-0.5228787452803376
2011-01-07,0.32,734,-0.494850021680094
2011-01-08,0.32,735,-0.494850021680094
2011-01-09,0.32,736,-0.494850021680094
2011-01-10,0.33,737,-0.4814860601221125
2011-01-11,0.33,738,-0.4814860601221125
2011-01-12,0.32,739,-0.494850021680094
2011-01-13,0.32,740,-0.494850021680094
