Date,EURUSD,USDUAH,USDRUB,XAUUSD,XAGUSD,COPPERUSD,IRONOREUSD,ALUMINUMUSD,OILUSD,USHOUSING
2010-01-01,1.4389938116073608,,29.99519920349121,,,,,,,147.396
2010-01-04,1.4423978328704834,7.940000057220459,30.31399917602539,1117.699951171875,17.440000534057617,3.388000011444092,,,81.51000213623047,
2010-01-05,1.4365959167480469,7.894700050354004,29.99519920349121,1118.0999755859375,17.7810001373291,3.3959999084472656,,,81.7699966430664,
2010-01-06,1.4404033422470093,7.931600093841553,29.99519920349121,1135.9000244140625,18.163000106811523,3.477499961853028,,,83.18000030517578,
2010-01-07,1.4318032264709473,7.973700046539307,29.99519920349121,1133.0999755859375,18.33300018310547,3.4114999771118164,,,82.66000366210938,
2010-01-08,1.44110906124115,7.981900215148926,29.86599922180176,1138.199951171875,18.45800018310547,3.388000011444092,,,82.75,
2010-01-11,1.4511260986328125,7.91349983215332,29.31369972229004,1150.699951171875,18.683000564575195,3.428499937057495,,,82.5199966430664,
2010-01-12,1.447659969329834,7.99399995803833,29.55970001220703,1128.9000244140625,18.24300003051757,3.337500095367432,,,80.79000091552734,
2010-01-13,1.4523905515670776,8.038299560546875,29.543500900268555,1136.4000244140625,18.538000106811523,3.387500047683716,,,79.6500015258789,
2010-01-14,1.4499897956848145,7.962200164794922,29.434999465942383,1142.5999755859375,18.64299964904785,3.375999927520752,,,79.38999938964844,
2010-01-15,1.4390974044799805,7.989099979400635,29.54590034484864,1130.0999755859375,18.410999298095703,3.3550000190734863,,,78.0,
2010-01-18,1.4406731128692627,8.030501365661621,29.590999603271484,,,,,,,
2010-01-19,1.4281021356582642,8.000100135803223,29.58799934387207,1139.699951171875,18.78400039672852,3.437000036239624,,,79.0199966430664,
2010-01-20,1.4110342264175415,8.03499984741211,29.75230026245117,1112.300048828125,17.865999221801758,3.345999956130981,,,77.62000274658203,
2010-01-21,1.409701585769653,8.028401374816895,29.70389938354492,1102.699951171875,17.496000289916992,3.2850000858306885,,,76.08000183105469,
2010-01-22,1.414107084274292,7.975500106811523,29.77009963989257,1089.199951171875,16.917999267578125,3.338500022888184,,,74.54000091552734,
2010-01-25,1.4150075912475586,7.993100166320801,30.10409927368164,1095.199951171875,17.131000518798828,3.384000062942505,,,75.26000213623047,
2010-01-26,1.4082324504852295,7.986599922180176,30.326000213623047,1097.9000244140625,16.84600067138672,3.3289999961853027,,,74.70999908447266,
2010-01-27,1.4030951261520386,7.968299865722656,30.316999435424805,1084.4000244140625,16.42799949645996,3.2144999504089355,,,73.66999816894531,
2010-01-28,1.3968042135238647,7.898300170898437,30.35300064086914,1083.5999755859375,16.20199966430664,3.0899999141693115,,,73.63999938964844,
2010-01-29,1.386693239212036,7.912099838256836,30.34959983825684,1083.0,16.183000564575195,3.0460000038146973,,,72.88999938964844,
2010-02-01,1.3926994800567627,7.936699867248535,30.28499984741211,1104.300048828125,16.652999877929688,3.0785000324249268,,,74.43000030517578,145.632
2010-02-02,1.3976240158081057,7.973599910736084,30.065000534057617,1117.4000244140625,16.736000061035156,3.0850000381469727,,,77.2300033569336,
2010-02-03,1.3901052474975586,7.971099853515625,29.99399948120117,1111.4000244140625,16.309999465942383,2.9679999351501465,,,76.9800033569336,
2010-02-04,1.3744947910308838,7.93559980392456,30.165000915527344,1062.4000244140625,15.343000411987305,2.875499963760376,,,73.13999938964844,
2010-02-05,1.368007779121399,7.924499988555908,30.11079978942871,1052.199951171875,14.822999954223633,2.8540000915527344,,,71.19000244140625,
2010-02-08,1.3654673099517822,7.965499877929688,30.530000686645508,1065.699951171875,15.07800006866455,2.9094998836517334,,,71.88999938964844,
